iter	Passed	Remaining
440	1388	1760
441	1391	1756
442	1396	1756
443	1399	1751
444	1402	1748
445	1404	1744
446	1407	1740
447	1409	1736
448	1414	1736
449	1425	1741
450	1429	1740
451	1431	1735
452	1433	1731
453	1440	1732
454	1445	1731
455	1448	1727
456	1453	1726
457	1455	1722
458	1467	1729
459	1471	1727
460	1482	1733
461	1485	1729
462	1488	1726
463	1494	1725
464	1496	1721
465	1498	1716
466	1500	1712
467	1502	1708
468	1505	1704
469	1513	1706
470	1516	1702
471	1528	1709
472	1531	1706
473	1542	1711
474	1546	1708
475	1548	1704
476	1552	1702
477	1557	1701
478	1560	1697
479	1563	1693
480	1566	1689
481	1577	1695
482	1581	1692
483	1594	1699
484	1596	1695
485	1603	1695
486	1606	1692
487	1609	1688
488	1612	1685
489	1620	1686
490	1622	1682
491	1628	1681
492	1633	1680
493	1636	1676
494	1639	1672
495	1642	1668
496	1648	1668
497	1652	1665
498	1668	1675
499	1670	1670
500	1673	1666
501	1680	1667
502	1685	1665
503	1698	1671
504	1700	1667
505	1704	1664
506	1713	1666
507	1718	1664
508	1736	1675
509	1739	1670
510	1744	1669
511	1746	1664
512	1753	1664
513	1761	1665
514	1763	1660
515	1765	1655
516	1777	1660
517	1782	1658
518	1784	1653
519	1786	1649
520	1792	1648
521	1797	1645
522	1799	1641
523	1802	1637
524	1805	1633
525	1809	1630
526	1812	1627
527	1826	1632
528	1828	1627
529	1830	1623
530	1838	1623
531	1840	1619
532	1843	1615
533	1845	1610
534	1851	1609
535	1855	1606
536	1858	1602
537	1867	1603
538	1871	1600
539	1873	1596
540	1876	1591
541	1880	1589
542	1883	1585
543	1886	1581
544	1888	1576
545	1891	1572
546	1900	1574
547	1903	1570
548	1906	1566
549	1913	1565
550	1916	1561
551	1919	1557
552	1921	1553
553	1926	1550
554	1928	1546
555	1930	1541
556	1933	1537
557	1935	1533
558	1937	1528
559	1942	1526
560	1944	1521
561	1947	1517
562	1949	1513
563	1953	1510
564	1960	1509
565	1963	1505
566	1965	1501
567	1969	1498
568	1975	1496
569	1978	1492
570	1980	1487
571	1982	1483
572	1985	1479
573	1991	1477
574	1993	1473
575	1995	1469
576	1998	1464
577	2013	1469
578	2015	1465
579	2020	1463
580	2022	1458
581	2024	1454
582	2027	1450
583	2029	1445
584	2038	1445
585	2042	1443
586	2046	1439
587	2050	1436
588	2054	1433
589	2058	1430
590	2064	1428
591	2069	1426
592	2071	1421
593	2075	1418
594	2077	1413
595	2085	1413
596	2088	1409
597	2090	1405
598	2093	1401
599	2097	1398
600	2103	1396
601	2105	1392
602	2121	1396
603	2124	1392
604	2126	1388
605	2129	1384
606	2136	1383
607	2139	1379
608	2142	1375
609	2144	1371
610	2149	1368
611	2151	1364
612	2154	1359
613	2156	1355
614	2158	1351
615	2161	1347
616	2165	1344
617	2168	1340
618	2170	1335
619	2172	1331
620	2174	1326
621	2185	1328
622	2189	1324
623	2196	1323
624	2198	1318
625	2200	1314
626	2202	1310
627	2207	1307
628	2210	1304
629	2213	1300
630	2215	1295
631	2219	1292
632	2227	1291
633	2230	1287
634	2233	1283
635	2241	1282
636	2243	1278
637	2245	1274
638	2249	1270
639	2256	1269
640	2260	1266
641	2264	1262
642	2274	1262
643	2287	1264
644	2290	1260
645	2293	1256
646	2302	1256
647	2305	1252
648	2311	1249
649	2323	1250
650	2331	1249
651	2336	1246
652	2339	1243
653	2347	1241
654	2353	1239
655	2362	1238
656	2365	1234
657	2367	1230
658	2370	1226
659	2388	1230
660	2396	1229
661	2399	1225
662	2402	1221
663	2405	1217
664	2413	1215
665	2418	1212
666	2428	1212
667	2430	1208
668	2433	1203
669	2437	1200
670	2444	1198
671	2448	1195
672	2457	1194
673	2463	1191
674	2477	1192
675	2486	1191
676	2495	1190
677	2507	1191
678	2510	1186
679	2512	1182
680	2517	1179
681	2520	1175
682	2536	1177
683	2540	1173
684	2543	1169
685	2548	1166
686	2551	1162
687	2554	1158
688	2564	1157
689	2574	1156
690	2578	1153
691	2591	1153
692	2600	1151
693	2602	1147
694	2605	1143
695	2607	1138
696	2613	1136
697	2616	1131
698	2618	1127
699	2620	1123
700	2622	1118
701	2627	1115
702	2630	1111
703	2632	1106
704	2633	1102
705	2635	1097
706	2637	1093
707	2647	1092
708	2649	1087
709	2651	1083
710	2654	1078
711	2659	1075
712	2661	1071
713	2663	1067
714	2666	1062
715	2668	1058
716	2669	1053
717	2672	1049
718	2674	1045
719	2675	1040
720	2677	1036
721	2679	1031
722	2681	1027
723	2688	1024
724	2691	1020
725	2693	1016
726	2695	1012
727	2698	1008
728	2703	1005
729	2705	1000
730	2707	996
731	2709	991
732	2711	987
733	2713	983
734	2718	980
735	2720	975
736	2722	971
737	2724	967
738	2725	962
739	2728	958
740	2732	954
741	2736	951
742	2739	947
743	2741	943
744	2744	939
745	2750	936
746	2753	932
747	2757	928
748	2759	924
749	2764	921
750	2774	919
751	2775	915
752	2781	912
753	2785	908
754	2786	904
755	2789	900
756	2795	897
757	2799	893
758	2801	889
759	2806	886
760	2810	882
761	2814	879
762	2816	874
763	2820	871
764	2822	867
765	2828	864
766	2830	859
767	2832	855
768	2834	851
769	2838	847
770	2843	844
771	2845	840
772	2849	836
773	2853	833
774	2858	829
775	2862	826
776	2864	822
777	2868	818
778	2870	814
779	2873	810
780	2877	806
781	2880	802
782	2884	799
783	2888	795
784	2891	791
785	2895	788
786	2900	784
787	2905	781
788	2911	778
789	2916	775
790	2918	771
791	2921	767
792	2923	763
793	2924	758
794	2926	754
795	2936	752
796	2939	748
797	2941	744
798	2946	741
799	2948	737
800	2951	733
801	2953	729
802	2955	725
803	2957	720
804	2962	717
805	2963	713
806	2965	709
807	2967	705
808	2969	701
809	2971	696
810	2973	692
811	2978	689
812	2980	685
813	2982	681
814	2984	677
815	2986	673
816	2988	669
817	2991	665
818	2993	661
819	2996	657
820	2999	653
821	3000	649
822	3002	645
823	3005	641
824	3010	638
825	3012	634
826	3013	630
827	3015	626
828	3017	622
829	3018	618
830	3023	614
831	3025	610
832	3027	606
833	3028	602
834	3030	598
835	3032	594
836	3034	590
837	3038	587
838	3040	583
839	3041	579
840	3043	575
841	3045	571
842	3046	567
843	3048	563
844	3052	559
845	3056	556
846	3058	552
847	3060	548
848	3063	544
849	3067	541
850	3071	537
851	3073	533
852	3075	530
853	3078	526
854	3083	522
855	3085	519
856	3087	515
857	3101	513
858	3104	509
859	3109	506
860	3118	503
861	3121	499
862	3123	495
863	3125	492
864	3130	488
865	3132	484
866	3134	480
867	3136	476
868	3138	473
869	3153	471
870	3156	467
871	3161	464
872	3164	460
873	3167	456
874	3171	453
875	3181	450
876	3185	446
877	3207	445
878	3210	441
879	3212	438
880	3216	434
881	3218	430
882	3225	427
883	3227	423
884	3230	419
885	3232	415
886	3238	412
887	3241	408
888	3244	405
889	3246	401
890	3250	397
891	3255	394
892	3258	390
893	3260	386
894	3261	382
895	3263	378
896	3271	375
897	3276	372
898	3278	368
899	3280	364
900	3283	360
901	3285	356
902	3287	353
903	3291	349
904	3298	346
905	3300	342
906	3302	338
907	3304	334
908	3307	331
909	3309	327
910	3315	323
911	3317	320
912	3319	316
913	3325	312
914	3329	309
915	3333	305
916	3361	304
917	3366	300
918	3369	296
919	3382	294
920	3385	290
921	3395	287
922	3400	283
923	3406	280
924	3411	276
925	3414	272
926	3422	269
927	3424	265
928	3431	262
929	3436	258
930	3439	254
931	3441	251
932	3445	247
933	3447	243
934	3453	240
935	3457	236
936	3459	232
937	3461	228
938	3475	225
939	3479	222
940	3486	218
941	3489	214
942	3492	211
943	3495	207
944	3507	204
945	3509	200
946	3511	196
947	3523	193
948	3525	189
949	3528	185
950	3530	181
951	3533	178
952	3535	174
953	3537	170
954	3568	168
955	3571	164
956	3573	160
957	3579	156
958	3582	153
959	3585	149
960	3589	145
961	3593	141
962	3596	138
963	3598	134
964	3600	130
965	3602	126
966	3614	123
967	3616	119
968	3627	116
969	3641	112
970	3643	108
971	3645	105
972	3648	101
973	3650	97
974	3652	93
975	3658	89
976	3660	86
977	3664	82
978	3666	78
979	3671	74
980	3675	71
981	3699	67
982	3704	64
983	3707	60
984	3709	56
985	3711	52
986	3716	48
987	3721	45
988	3729	41
989	3732	37
990	3737	33
991	3740	30
992	3752	26
993	3755	22
994	3757	18
995	3760	15
996	3762	11
997	3767	7
998	3770	3
999	3775	0
